title,author,publication_year
The Scarlet Letter,NATHANIEL HAWTHORNE,1965
Dragonsong (Harper Hall Trilogy),Anne McCaffrey,1977
The Watch House,Robert Westall,1998
Was It Something I Said?,Valerie Block,1998
Cloud Nine,Luanne Rice,2000
The Lovely Bones,Alice Sebold,2004
The Tortilla Curtain,T. Coraghessan Boyle,1996
Sarah Conley,Ellen Gilchrist,1998
A Widow for One Year,JOHN IRVING,1999
The Clearing,TIM GAUTREAUX,2003
Empire Falls,Richard Russo,2002
Oryx and Crake,Margaret Atwood,2003
Sophie's World: A Novel About the History of Philosophy (Berkeley Signature Edition),Jostein Gaarder,1997
Black and Blue,ANNA QUINDLEN,1999
Le Divorce (William Abrahams Book),Diane Johnson,1997
The Face,DEAN KOONTZ,2003
She's Come Undone (Oprah's Book Club),Wally Lamb,1998
Falling Leaves: The True Story of an Unwanted Chinese Daughter,Adeline Yen Mah,1999
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002
"The Game of Kings (Lymond Chronicles, 1)",DOROTHY DUNNETT,1997
"RUSSIA HOUSE, THE",JOHN LE CARRE,1990
Solv-A-Crime Puzzles (Dover Game and Puzzle Activity Books),A. C. Gordon,1995
The First Wives Club Movie Tie In,Olivia Goldsmith,1996
Selected Poems of Emily Dickinson,Emily Dickinson,1995
Watercolor School (Reader's Digest Learn-As-You-Go Guides),Hazel Harrison,1993
Joshua In the Holy Land,Joseph Girzone,1993
The Messenger,JOSEPH GIRZONE,2002
Sisters of the Earth: Women's Prose and Poetry About Nature,Lorraine Anderson,1991
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996
Househusband,AD HUDLER,2002
Life Messages: Inspiration For The Woman's Spirit,Josephine Carlton,2002
Letters from a Nut,Ted L. Nancy,1999
Karl Marx: A Life,Francis Wheen,2001
The Shining,Stephen King,2001
The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,2001
The Sky Is Falling,Sidney Sheldon,2001
Santa Pete : A Novel Of Christmas Present And Past,Christopher Moore,1998
Mount Vernon Love Story : A Novel of George and Martha Washington,Mary Higgins Clark,2002
The Kingdom: Arabia and the House of Sa'Ud,Robert Lacey,1983
Florida Road Kill: A Novel,Tim Dorsey,2000
The 37th Hour,JODI COMPTON,2003
Be Cool,Elmore Leonard,2000
The Hunted,Elmore Leonard,1986
The Saints of Big Harbour: A Novel,Lynn Coady,2002
Old Flames,John Lawton,2003
From the Earth: Chinese Vegetarian Cooking,Eileen Yin-Fei Lo,1995
Living in the Presence: Disciplines for the Spiritual Heart,Tilden H. Edwards,1988
The Bean Trees,Barbara Kingsolver,1989
Homeland and Other Stories,Barbara Kingsolver,1990
"A Suitable Boy : Novel, A",Vikram Seth,1994
Daughter of Fortune,Isabel Allende,2000
The Fly on the Wall,Tony Hillerman,1990
Cranford (The World's Classics),Elizabeth Gaskell,1982
The Red Tent (Bestselling Backlist),Anita Diamant,1998
The Right Hand of Amon,Lauren Haney,1997
Last Blue: Poems,Gerald Stern,2000
The Cat Who Wasn't There,Lilian Jackson Braun,1992
Isle of Dogs,Patricia Daniels Cornwell,2001
Light a Penny Candle,Maeve Binchy,2001
The Blue Last: A Richard Jury Mystery (Richard Jury Mysteries (Paperback)),Martha Grimes,2002
Turn of the Screw and Short N,Henry James,1978
The Country of the Pointed Firs (Dover Thrift Editions),Sarah Orne Jewett,1994
Early Poems (Dover Thrift Editions),William Carlos Williams,1997
Barchester Towers (Oxford Pocket Classics),Anthony Trollope,1986
REEF,Edith Wharton,1996
Wednesday the Rabbi Got Wet,Harry Kemelman,2003
Things My Girlfriend and I Have Argued About: A Novel,Mil Millington,2003
Listening Hearts: Discerning Call in Community,Suzanne G. Farnham,1991
Unattainable Earth,Czeslaw Milosz,1987
"The Practice of Prayer (New Church's Teaching Series, Vol 4)",Margaret Guenther,1998
Vertical Poetry: Recent Poems,Roberto Juarroz,1992
Rubinstein's Chess Masterpieces,Akiba Rubinstein,1941
The Nanny Diaries: A Novel,Emma McLaughlin,2002
Biblioteca Universale Rizzoli: Sulla Sponda Del Fiume Piedra,P Coelho,0
I Giorni Dell'abbandono,Elena Ferrante,2002
The Gizmo,Paul Jennings,1995
The Last Best Hope of Earth: Abraham Lincoln and the Promise of America,"Mark E., Jr. Neely",1993
Organic Chemistry (Saunders Golden Sunburst Series),Stephen J. Weininger,1994
Secrets of St. John's Wort: A Lynn Sonberg Book,Larry Katzenstein,1998
Diet for a Poisoned Planet: How to Choose Safe Foods for You and Your Family,David Steinman,1992
"Punished by Rewards: The Trouble With Gold Stars, Incentive Plans, A'S, Praise, and Other Bribes",Alfie Kohn,1995
Montessori Today: A Comprehensive Approach to Education from Birth to Adulthood,Paula Polk Lillard,1996
Oil Painting Techniques (Artist's Painting Library),David Lewis,1983
Going down swinging,Billie Livingston,1999
Confessions of a Sociopathic Social Climber : The Katya Livingston Chronicles (Katya Livingston Chronicles (Hardcover)),Adele Lang,2002
Like a Hole in the Head,Jen Banbury,1998
Postmortem,Patricia Daniels Cornwell,1993
The Cove,Catherine Coulter,1996
An Inconvenient Woman,Dominick Dunne,1991
Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler,1996
While My Pretty One Sleeps,Mary Higgins Clark,1990
Antipodes 10,John Pascal,1995
Kick Ass: Selected Columns of Carl Hiaasen,Carl Hiaasen,2001
Everything Is Illuminated: A Novel,Jonathan Safran Foer,2002
Life of Pi,Yann Martel,2003
Rules of the Wild,Francesca Marciano,1998
Three Junes,JULIA GLASS,2003
Back Roads,Tawni O'Dell,2001
In Her Shoes : A Novel,Jennifer Weiner,2002
The Kiss,Danielle Steel,2001
Home Spun: A Collection,Leon Hale,1997
Sweet Hereafter Movie Tie-In : A Novel,Russell Banks,1992
The Rime of the Ancient Mariner and Other Poems,Samuel Taylor Coleridge,1992
11th Hour,Bradley Warshauer,2003
In Country RI,Bobbie Ann Mason,1986
Brazen Virtue,Nora Roberts,1996
Ghost Moon,Karen Robards,2001
Brewing Up a Storm: A John Thatcher Mystery,Emma Lathen,1996
Strangers,Dean R. Koontz,2002
Milk and Honey (Peter Decker/Rina Lazarus Novels),Faye Kellerman,2002
The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,1999
Night Tales,Nora Roberts,2000
A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992
Chopping Spree,DIANE MOTT DAVIDSON,2002
Four Blondes,Candace Bushnell,2001
River's End,Nora Roberts,2003
Summer Island,KRISTIN HANNAH,2002
The Straw Men,Michael Marshall,2002
The Doctor the Patient: The Personal Journey of a Physician With Cancer,Allen Widome,1989
The Street Lawyer,John Grisham,1998
The Chamber,John Grisham,1994
Warlock : A Novel of Ancient Egypt,Wilbur Smith,2002
The Teacher from the Black Lagoon,Mike Thaler,1989
The Partner,John Grisham,1997
Primal Scream,Michael Slade,1998
Chosen Prey,John Sandford,2004
Guilty as Sin,TAMI HOAG,1997
Night Sins,TAMI HOAG,1995
The Second Time Around : A Novel,Mary Higgins Clark,2004
Three,Ted Dekker,2003
The Canopy,Angela Elwell Hunt,2003
Blink,Ted Dekker,2003
Last Battle,C. S. Lewis,1988
Prince Caspian,C. S. Lewis,1970
Robert's Rules of Order,William Eisner,1986
Abduction,Robin Cook,2000
And Never Let Her Go : Thomas Capano: The Deadly Seducer,Ann Rule,2000
Not a Day Goes By : A Novel,E. LYNN HARRIS,2001
Sun Signs,Linda Goodman,1981
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986
The Mummy or Ramses the Damned,Anne Rice,1991
HIS LITTLE WOMEN : HIS LITTLE WOMEN,Judith Rossner,1991
Her Mother's Daughter,Marilyn French,1990
Your Erroneous Zones,Wayne W. Dyer,1976
The Night Listener,Armistead Maupin,2000
Organizing from the Inside Out,Julie Morgenstern,1998
The Hellfire Club,Peter Straub,1996
"The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate",Jack,1993
Vanished,Danielle Steel,1993
The Women in His Life (G K Hall Large Print Book Series),Barbara Taylor Bradford,1991
The Morning After,Lisa Jackson,2004
Missing Susan,SHARYN MCCRUMB,1992
Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000
Kitchen Privileges : A Memoir,Mary Higgins Clark,2002
We Are Our Mothers' Daughters,Cokie Roberts,2000
Horus's Horrible Day (First Graders from Mars),Shana Corey,2001
My Garden (Beginning Literacy),Jesse S. Ostrow,1994
101 Dalmatians,Justine Korman,1996
In the Dinosaur's Paw (Kids of the Polk Street School),PATRICIA REILLY GIFF,1987
Ralph S. Mouse,Beverly Cleary,2000
"The First Journey (Animorphs. Alternamorphs, 1)",K. A. Applegate,1999
How Do Dinosaurs Learn to Read,Jane Yolen,2003
My First Book about Space (Golden Look-Look Books (Paperback)),Dinah L. Moche,1997
You Be the Jury #02,Marvin Miller,1989
Comic Characters,Craig Boldman,1983
The Time Machine (Troll Illustrated Classics),H. G. Wells,1992
I Like School (in My World Series),Bobbie Kalman,1985
Sacred Ground,Mercedes Lackey,1995
Burning Water (Burning Water),Mercedes Lackey,1992
The Tightrope Walker,Dorothy Gilman,1997
MoveOn's 50 Ways to Love Your Country: How to Find Your Political Voice and Become a Catalyst for Change,Moveon,2004
Children of the Night,Mercedes Lackey,1990
Rainbow the Stormy Life of Judy Garland,Christopher Finch,0
Cold Mountain (MTI) (Vintage Contemporaries),CHARLES FRAZIER,2003
A Fountain Filled With Blood (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2004
Out of the Deep I Cry : A Clare Fergusson/Russ Van Alstyne Mystery,Julia Spencer-Fleming,2004
Daisy Fay and the Miracle Man,Fannie Flagg,1992
Little House On the Prairie,Laura Ingall Wilder,0
Angela's Ashes: A Memoir,Frank McCourt,1999
The Next Accident,LISA GARDNER,2002
Socks (Cleary Reissue),Beverly Cleary,1990
"The Pet Shop Mystery (Boxcar Children Special (Paper), No 7)",Gertrude Chandler Warner,1996
In the Bleak Midwinter (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2003
"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2001
"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,1998
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1998
Eyeshot,Lynn S. Hightower,1997
"If Ever I Return, Pretty Peggy-O",Sharyn McCrumb,1991
The Rosewood Casket,Sharyn McCrumb,1997
The Amazing Mrs. Pollifax,Dorothy Gilman,1992
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002
The Unsung Hero,Suzanne Brockmann,2000
"Two Princesses of Bamarre, The",Gail Carson Levine,2004
Ella Enchanted (rack),Gail Carson Levine,2004
Passing for Thin : Losing Half My Weight and Finding My Self,FRANCES KUFFEL,2004
Bloodlines (Dog Lover's Mysteries),Susan Conant,1994
Kissing in Manhattan,DAVID SCHICKLER,2002
Echoes,Maeve Binchy,1989
Someone to Watch Over Me : A Novel,Judith McNaught,2003
The Toynbee Convector,Ray Bradbury,1989
One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995
The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000
A polar bear called Pingo,Ilona Koidahl,1974
Dark Lady,Richard North Patterson,1999
The Future Scrolls,Fern Michaels,2003
About Face,Fern Michaels,2003
Tarot Says Beware (A Herculeah Jones Mystery),Betsy Byars,1995
Globalhead,Bruce Sterling,1994
Along Came a Spider (Alex Cross Novels),James Patterson,1993
Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995
The River King,Alice Hoffman,2001
Final Appeal,Lisa Scottoline,1994
Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998
Atonement,Ian McEwan,2002
Why Do Clocks Run Clockwise? and Other Imponderables: Mysteries of Everyday Life Explained,David Feldman,1987
Someone to Watch Over Me : Stories,Richard Bausch,2000
Stately Pursuits,Katie Fforde,1999
The Pinball Effect: How Renaissance Water Gardens Made the Carburetor Possible-And Other Journeys Through Knowledge (Pinball Effect),James Burke,1996
"My Father, Dancing (Harvest Book)",Bliss Broyard,2000
Women on the Case,Sara Paretsky,1996
New Cardiff,Charles Webb,2002
Almost: A Novel,Elizabeth Benedict,2002
A Tally of Types: With Additions by Several Hands ; And With a New Introduction by Mike Parker,Stanley Morison,1999
Stand Still Like the Hummingbird,Henry Miller,1962
Crossing the Unknown Sea: Work As a Pilgrimage of Identity,David Whyte,2002
The Future of Leadership: Today's Top Leadership Thinkers Speak to Tomorrow's Leaders,Warren  Bennis,2001
"Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic",Martha Beck,2000
No Future Without Forgiveness,Desmond Mpilo Tutu,2000
"A Call to Conscience : The Landmark Speeches of Dr. Martin Luther King, Jr.",Kris Shepard,2001
On the Road (Penguin 20th Century Classics),Jack Kerouac,1998
I And Thou,Martin Buber,1971
The Prince (Dover Thrift Editions),Niccolรฒ Machiavelli,1992
"Sarajevo, maybe (Anni Novanta/Feltrinelli)",Gianfranco Bettin,1994
Becoming a Man : Half a Life Story,Paul Monette,1993
OLD MAN AND THE SEA,Ernest Hemingway,1995
Diary of a Teenage Girl - Becoming Me : Diary Number 1 (Diary of a Teenage Girl),Melody Carlson,2000
The Dominant Blonde,Alisa Kwitney,2002
Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998
The Girls' Guide to Hunting and Fishing,Melissa Bank,2000
Rena's Promise: A Story of Sisters in Auschwitz,Rena Kornreich Gelissen,1996
America the Beautiful: A Novel,Moon Unit Zappa,2001
Easy Travel to Other Planets,Ted Mooney,1982
The Mist and the Magic (Harper Monogram),Susan Wiggs,1993
Icy Sparks,Gwyn Hyman Rubio,2001
The True and Outstanding Adventures of the Hunt Sisters: A Novel,Elisabeth Robinson,2004
The Time Traveler's Wife,Audrey Niffenegger,2003
Strange Fits of Passion: A Novel,Anita Shreve,1999
The Monk Downstairs: A Novel,Tim Farrington,2002
Lost in Place: Growing Up Absurd in Suburbia,Mark Salzman,1996
My Name Is Asher Lev,Chaim Potok,1996
Waking the Dead,Scott Spencer,2000
Davita's Harp,Chaim Potok,1990
The Book of Lights,Chaim Potok,1997
The Mimic Men,V. S. Naipaul,1992
The Mystic Masseur,V.S. Naipaul,1993
Regain,Jean Giono,1987
Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000
A l'Ouest rien de nouveau,Erich Maria Remarque,1973
Pourquoi j'ai mangร?ยฉ mon pร?ยจre,Lewis,2000
Ravage,Rene Barjavel,0
Voyage d'une parisienne ร?ย  Lhassa,Alexandra David-Nร?ยฉel,1989
Les Fleurs Du Mal,C. Baudelaire,1972
Chroniques martiennes,Ray Bradbury,2002
Le Diable Au Corps,Raymond Radiguet,0
La Faute de l'abbร?ยฉ Mouret,Emile Zola,1991
L'Homme Qui Plantait Des Arbres,Jean Giono,2002
La Guerre Des Boutons,Pergaud,0
Paroles de Poilus : Lettres et carnets du front 1914-1918,Collectif,2001
Une porte sur l'ร?ยฉtร?ยฉ,Robert A. Heinlein,1999
Die Entdeckung der Langsamkeit.,Sten Nadolny,1987
Die Grenzen des Geschlechts: Anleitungen zum Sturz des internationalen Patriarchats : Amnesty for Women (Rororo Sachbuch),Cheryl Benard,1984
Frauen der Welt: Vom Fortschritt der Ungleichheit,Christa Wichterich,1995
I Ging. Das Buch der Wandlung. Das groร?ย?e Weisheits- und Orakelbuch der alten Chinesen.,John. Blofeld,1999
African Women: Their Struggle for Economic Independence,Christine Obbo,1980
Die globalisierte Frau: Berichte aus der Zukunft der Ungleichheit (Frauen aktuell),Christa Wichterich,1998
"Women are the Niggers of the World: รผber Frauen, Herrenmenschen und Nietzsches Peitsche (AtV Dokument und Essay)",Peter B Heim,1994
Sense and Sensibility (Penguin Popular Classics),Jane Austen,1994
Der gemietete Mann.,Hera Lind,1999
Der Gott der kleinen Dinge.,Arundhati Roy,1999
The Da Vinci Code,Dan Brown,2003
The Rescue,Nicholas Sparks,2000
A Map of the World,Jane Hamilton,1999
Edge of Danger,Jack Higgins,2001
Bridget Jones : The Edge of Reason,Helen Fielding,2000
Vinegar Hill (Oprah's Book Club (Hardcover)),A. Manette Ansay,1999
The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999
Saving Private Ryan: A Novel,Max Allan Collins,1998
Big Trouble,Dave Barry,2002
Snow Falling on Cedars,David Guterson,1994
Skipping Christmas,JOHN GRISHAM,2001
The Reader,Bernhard Schlink,1997
Cheaters,Eric Jerome Dickey,1999
Angel Falls,KRISTIN HANNAH,2000
The Saving Graces : A Novel,Patricia Gaffney,1999
Daddy's Little Girl,Mary Higgins Clark,2002
The Vineyard : A Novel,Barbara Delinsky,2000
The Looking Glass : A Novel (The Locket Series),Richard Paul Evans,1999
If Only It Were True,Marc Levy,2000
"Dear Stranger, Dearest Friend",Laney Katz Becker,2000
The Cider House Rules: A Novel (Modern Library),John Irving,1999
Lolita (Everyman's Library (Cloth)),VLADIMIR NABOKOV,1993
Message in a Bottle,Nicholas Sparks,1998
Blackbird: A Childhood Lost and Found,Jennifer Lauck,2000
Protect and Defend,Richard North Patterson,2000
Blue Heaven (Contemporary American Fiction S.),Joe Keenan,1988
Julie and Romeo,Jeanne Ray,2000
The Guardian,Nicholas Sparks,2003
Nights in Rodanthe,Nicholas Sparks,2002
Man and Boy,Tony Parsons,2001
One Heart,Jane McCafferty,1999
"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992
"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986
All of Me: A Voluptuous Tale,Venise T. Berry,2000
The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997
The Villa,Nora Roberts,2001
In This Mountain,Jan Karon,2002
"All the Pretty Horses (Border Trilogy, Vol 1)",Cormac McCarthy,1992
Suzanne's Diary for Nicholas,James Patterson,2001
He Sees You When You're Sleeping : A Novel,Mary Higgins Clark,2001
2nd Chance,James Patterson,2002
The Carousel : A Novel,Richard Paul Evans,2000
The Promise Remains,Travis Thrasher,2000
You Cannot Be Serious,John McEnroe,2002
LAKE NEWS : A Novel,Barbara Delinsky,1999
Liar's Game,Eric Jerome Dickey,2000
Out of the Blue,Sally Mandel,2000
Voice of the Eagle,Linda Lay Shuler,1993
The Kingdom by the Sea: A Journey Around Great Britain,Paul Theroux,1984
Shattered Uk,Dick Francis,0
The Proud and the Free,Janet Dailey,1995
Shoah,Claude Lanzmann,1985
"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999
